epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3824.75,2.22706,2.08326,2.52853,0.88776,0.91682,0.95131,0.75342,1.43492,0.979,2.06559,0.000983366,0.000983366,0.000983366
65,3879.26,2.20377,2.04895,2.51516,0.87004,0.91735,0.94565,0.73992,1.46574,0.98106,2.08376,0.000976293,0.000976293,0.000976293
66,3941.06,2.18395,2.05495,2.51208,0.88891,0.91473,0.94812,0.74042,1.47211,0.98296,2.08556,0.000969219,0.000969219,0.000969219
67,4001.54,2.20779,2.03673,2.50367,0.87654,0.90173,0.92678,0.73153,1.48194,1.0212,2.06927,0.000962146,0.000962146,0.000962146
68,4059.12,2.20588,2.06061,2.51038,0.9018,0.87914,0.94573,0.73938,1.49989,0.97546,2.09314,0.000955072,0.000955072,0.000955072
69,4116.79,2.18638,2.03728,2.52392,0.89108,0.90835,0.94865,0.74366,1.47143,1.00117,2.06688,0.000947999,0.000947999,0.000947999
70,4174.7,2.18684,2.02779,2.51777,0.90334,0.89218,0.94895,0.75782,1.42517,0.96442,2.04199,0.000940925,0.000940925,0.000940925
71,4233.72,2.18335,2.04923,2.51512,0.85118,0.91491,0.9387,0.72607,1.48197,1.04396,2.09897,0.000933851,0.000933851,0.000933851
72,4294.82,2.16036,1.98823,2.50004,0.88791,0.87431,0.93428,0.73339,1.47928,1.009,2.088,0.000926778,0.000926778,0.000926778
73,4352.31,2.16926,1.98229,2.49557,0.86106,0.90434,0.9122,0.71959,1.43856,1.07892,2.08252,0.000919704,0.000919704,0.000919704
74,4414.71,2.17102,1.9856,2.51017,0.86243,0.92553,0.94839,0.74883,1.43654,1.04112,2.07188,0.000912631,0.000912631,0.000912631
75,4476.74,2.17221,2.03958,2.48779,0.86196,0.92417,0.94321,0.74498,1.44366,0.99092,2.07416,0.000905557,0.000905557,0.000905557
76,4535.97,2.15667,1.99527,2.48209,0.9053,0.87634,0.9476,0.74664,1.435,0.96781,2.08138,0.000898484,0.000898484,0.000898484
77,4597.04,2.13767,2.00252,2.48449,0.88118,0.88344,0.92717,0.72713,1.44123,1.03935,2.07086,0.00089141,0.00089141,0.00089141
78,4656.72,2.1346,1.97735,2.47239,0.90927,0.8718,0.95992,0.7706,1.39782,0.93318,2.02983,0.000884337,0.000884337,0.000884337
79,4716.59,2.10768,1.93378,2.46773,0.83544,0.91896,0.92528,0.7292,1.4158,1.02926,2.04272,0.000877263,0.000877263,0.000877263
80,4777.97,2.08601,1.91704,2.45407,0.87474,0.89065,0.9442,0.74173,1.4072,0.98746,2.06317,0.00087019,0.00087019,0.00087019
81,4838.16,2.08612,1.94265,2.43816,0.87864,0.91228,0.95783,0.76981,1.40175,0.87291,2.03754,0.000863116,0.000863116,0.000863116
82,4900.26,2.12326,1.92582,2.47278,0.89911,0.91631,0.96194,0.77805,1.38413,0.89803,2.04965,0.000856042,0.000856042,0.000856042
83,4959.66,2.0873,1.86837,2.44088,0.89786,0.90484,0.9526,0.7644,1.39714,0.90781,2.03882,0.000848969,0.000848969,0.000848969
84,5018.43,2.11163,1.92386,2.45651,0.8551,0.9088,0.944,0.75091,1.38588,1.0075,2.0435,0.000841895,0.000841895,0.000841895
85,5076.22,2.08442,1.8487,2.44344,0.89404,0.92207,0.95086,0.76631,1.37772,0.93614,2.01402,0.000834822,0.000834822,0.000834822
86,5134.95,2.05299,1.84433,2.42802,0.89637,0.91614,0.95695,0.75792,1.41362,0.94335,2.02941,0.000827748,0.000827748,0.000827748
87,5192.22,2.09572,1.87135,2.43685,0.87624,0.91854,0.95033,0.76891,1.33829,0.89004,2.00095,0.000820675,0.000820675,0.000820675
88,5251.69,2.10248,1.86615,2.43589,0.88017,0.92713,0.9548,0.76896,1.37095,0.92216,2.03838,0.000813601,0.000813601,0.000813601
89,5312.69,2.03874,1.84727,2.42245,0.8954,0.92599,0.94916,0.76467,1.3429,0.95488,2.00438,0.000806528,0.000806528,0.000806528
